policy,kind,order_ret_excel,order_level_ret_mean,flow_fill_rate,terminal_rolling_fill_rate_4w,ret_garrido2024_sigmoid_mean,assembly_cost_index,order_service_loss_auc_per_order,order_ctj_p99,order_rpj_p99,order_dpj_p99,pareto_nondominated_ret_cost_tail_flow
S1_op10_1.25_op12_1.25,dense_static,0.0045541277122359,0.0043808393719575,0.4801160154228341,0.6546527942021687,0.3299868465005048,0.3333333333333333,4307210.908620832,7829.747699557027,2004.6657019027691,7829.747699557027,False
S1_op10_2.50_op12_2.00,dense_static,0.004553078247875,0.0043800617088722,0.4461922172916104,0.6414800693591436,0.3270811524711537,0.3333333333333333,4252470.973877988,7154.882465318182,1809.639291096669,7154.882465318182,False
S1_op10_1.00_op12_2.00,dense_static,0.0045489525195244,0.0043757328081398,0.4474426082969051,0.6691541999578476,0.3307512983578848,0.3333333333333333,4360508.333649032,7259.0763438292515,1975.12305988125,7259.0763438292515,False
S1_op10_1.25_op12_1.00,dense_static,0.0045390859734328,0.0043664232166581,0.4776029744987337,0.6466353155051668,0.3234008876143215,0.3333333333333333,4516864.663700788,8091.741099733527,2204.933480678937,8091.741099733527,False
S1_op10_2.00_op12_1.25,dense_static,0.0045363415072258,0.0043624676489953,0.4745713335917556,0.6931309647858143,0.3342239861128818,0.3333333333333333,4234944.181561127,7597.413503257523,2080.0184559960035,7597.413503257523,False
S1_op10_1.50_op12_1.25,dense_static,0.0045333953847478,0.0043610174731909,0.4648155265302076,0.6758442737162114,0.3372045208758386,0.3333333333333333,4296735.629483538,7676.725781116751,1999.1191010655864,7676.725781116751,False
S1_op10_2.00_op12_1.50,dense_static,0.0045331922967418,0.0043597414816506,0.4619492322015707,0.7086051697532335,0.3364320122801366,0.3333333333333333,4226915.659808116,8437.204996965766,2147.916837749005,8437.204996965766,False
S1_op10_1.25_op12_2.50,dense_static,0.004529291738702,0.0043577098778338,0.4414618138407116,0.6555586079756418,0.3280984968000184,0.3333333333333333,4431437.153193782,6815.543784816791,1655.67858123614,6815.543784816791,False
S1_op10_1.50_op12_2.00,dense_static,0.0045268651595235,0.0043540709641336,0.4591239311350891,0.6228148544828096,0.3183303478891004,0.3333333333333333,4397437.18131074,6562.053339421676,1674.8373193220243,6562.053339421676,False
S1_op10_1.50_op12_2.50,dense_static,0.0045239486479169,0.0043531163337418,0.4456170141971826,0.6945324420928956,0.3343013613744746,0.3333333333333333,4366895.79140443,7357.328335592955,1879.0584671520191,7357.328335592955,False
S1_op10_2.00_op12_2.50,dense_static,0.0045202363167966,0.0043504164053447,0.4431720744182369,0.6441835967202982,0.3301122625529468,0.3333333333333333,4324629.398629791,6748.806759645513,1866.8145927724408,6748.806759645513,False
S1_op10_1.00_op12_1.25,dense_static,0.0045129335030665,0.0043412739733947,0.4753862046570207,0.6398770669475198,0.3233287363724767,0.3333333333333333,4356718.661514034,8164.947405756061,2097.628806282286,8164.947405756061,False
S1_op10_2.50_op12_1.50,dense_static,0.0045094459531473,0.0043386668565168,0.4645937228220928,0.5763307319333156,0.3301647301510969,0.3333333333333333,4254544.677524923,7759.794237600962,2128.9286678329663,7759.794237600962,False
S1_op10_1.50_op12_1.50,dense_static,0.0044947813838092,0.0043242526528399,0.4548221464629101,0.6393881569306055,0.3296670282027945,0.3333333333333333,4391968.270784987,6079.5573186160655,1653.8586433422877,6079.5573186160655,False
S1_op10_2.50_op12_1.25,dense_static,0.0044882528328223,0.0043170359112524,0.4622514151335202,0.6455161819234491,0.3261885202262712,0.3333333333333333,4328746.447639564,7801.123772827802,2179.7869983386204,7801.123772827802,False
S1_op10_2.50_op12_1.00,dense_static,0.0044884579788774,0.0043167228120975,0.4726977376199962,0.673811690012614,0.3314776362349566,0.3333333333333333,4296997.334645851,7589.169442241732,1980.2537834003424,7589.169442241732,False
S1_op10_2.00_op12_2.00,dense_static,0.0044666577463063,0.0042964257724865,0.4499928455141025,0.6987707853317261,0.3281253822453858,0.3333333333333333,4328864.878391347,8546.824526747387,2342.8870227753905,8546.824526747387,False
S1_op10_1.25_op12_1.50,dense_static,0.0044562219934619,0.0042893303395298,0.4528676527932038,0.6341807434956233,0.3306712798571767,0.3333333333333333,4461597.478983607,7667.060186112833,2224.7607637730907,7667.060186112833,False
S1_op10_2.50_op12_2.50,dense_static,0.0044451285572004,0.0042770470440077,0.4348804377723201,0.6629265467325847,0.3286710749473905,0.3333333333333333,4358608.906047394,7791.620195462808,2114.198249887141,7791.620195462808,False
S3_op10_0.75_op12_1.50,dense_static,0.0039773206308575,0.0038275520550568,0.363738215040389,0.6787126352389653,0.678428874815724,1.0,6574081.4268120425,7243.787913755541,1930.9953237297736,7243.787913755541,False
