seed,algo,reward_mode,reward_family,w_bo,w_cost,w_disr,episode_index,timesteps,progress_fraction,episode_reward,episode_length,time_elapsed_seconds
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,69,62790,0.6279,441.564745,910,123.776867
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,70,63700,0.637,440.044351,910,125.55302
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,71,64610,0.6461,434.14552,910,127.373624
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,72,65520,0.6552,442.481451,910,128.889011
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,73,66430,0.6643,451.24908,910,130.609421
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,74,67340,0.6734,432.698866,910,132.347743
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,75,68250,0.6825,422.181508,910,134.188021
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,76,69160,0.6916,459.795837,910,136.001341
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,77,70070,0.7007,449.842169,910,137.806607
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,78,70980,0.7098,412.470607,910,139.508262
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,79,71890,0.7189,491.605,910,141.275731
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,80,72800,0.728,439.488852,910,143.081974
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,81,73710,0.7371,498.190613,910,144.677577
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,82,74620,0.7462,427.478665,910,146.447657
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,83,75530,0.7553,468.453333,910,148.188855
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,84,76440,0.7644,449.512249,910,150.126572
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,85,77350,0.7735,449.70228,910,151.943819
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,86,78260,0.7826,481.972992,910,153.777578
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,87,79170,0.7917,431.829782,910,155.574962
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,88,80080,0.8008,477.861146,910,157.339627
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,89,80990,0.8099,445.82346,910,159.104055
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,90,81900,0.819,420.129674,910,160.617549
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,91,82810,0.8281,417.389177,910,162.455685
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,92,83720,0.8372,432.307378,910,164.259066
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,93,84630,0.8463,429.703816,910,165.996673
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,94,85540,0.8554,462.873434,910,167.757361
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,95,86450,0.8645,460.430857,910,169.566388
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,96,87360,0.8736,513.027348,910,171.417658
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,97,88270,0.8827,461.509325,910,173.223174
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,98,89180,0.8918,423.172202,910,174.954018
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,99,90090,0.9009,438.132762,910,176.460346
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,100,91000,0.91,471.883705,910,178.24408
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,101,91910,0.9191,438.132459,910,179.99895
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,102,92820,0.9282,434.960331,910,181.87536
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,103,93730,0.9373,416.840022,910,183.5662
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,104,94640,0.9464,454.596461,910,185.311154
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,105,95550,0.9555,430.55327,910,187.080635
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,106,96460,0.9646,454.878822,910,188.926721
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,107,97370,0.9737,463.526698,910,190.739165
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,108,98280,0.9828,468.063373,910,192.257983
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,109,99190,0.9919,445.162727,910,193.980831
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,110,100100,1.0,477.423533,910,195.77685
33,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,1,910,0.0091,414.446174,910,1.50948
33,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,2,1820,0.0182,456.102547,910,3.366157
33,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,3,2730,0.0273,455.771966,910,5.19402
33,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,4,3640,0.0364,460.733153,910,7.011777
33,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,5,4550,0.0455,439.650097,910,8.766304
33,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,6,5460,0.0546,424.110934,910,10.520971
33,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,7,6370,0.0637,477.584087,910,12.375305
33,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,8,7280,0.0728,451.424412,910,14.236709
33,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,9,8190,0.0819,475.530339,910,15.829296
33,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,10,9100,0.091,462.685023,910,17.594444
33,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,11,10010,0.1001,443.557258,910,19.365956
33,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,12,10920,0.1092,467.827312,910,21.290352
33,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,13,11830,0.1183,406.258796,910,23.442182
33,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,14,12740,0.1274,463.654477,910,25.46554
33,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,15,13650,0.1365,444.300356,910,27.246036
33,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,16,14560,0.1456,448.706031,910,29.032282
33,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,17,15470,0.1547,442.771471,910,30.897773
33,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,18,16380,0.1638,435.351397,910,32.496394
33,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,19,17290,0.1729,444.778574,910,34.268452
33,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,20,18200,0.182,495.853238,910,36.073672
33,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,21,19110,0.1911,453.104173,910,37.872231
33,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,22,20020,0.2002,445.403666,910,39.908494
33,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,23,20930,0.2093,425.56819,910,41.792649
33,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,24,21840,0.2184,443.455195,910,43.573472
