family,state_id,tape_id,decision_week,prefix,horizon_weeks,action,ret_excel,service_loss,lost_orders,resource,mass_residual
production,production|1100010|w36|pS3,1100010,36,S3,4,S2,0.005314393470842089,140383644.0,0.0,672.0,0.0
production,production|1100010|w36|pS3,1100010,36,S3,4,S3,0.005301493881732546,140383230.0,0.0,1344.0,0.0
production,production|1100010|w36|pS3,1100010,36,S3,8,S1,0.005401741080419876,140752560.0,0.0,0.0,0.0
production,production|1100010|w36|pS3,1100010,36,S3,8,S2,0.0054219159075347845,140752728.0,0.0,1344.0,0.0
production,production|1100010|w36|pS3,1100010,36,S3,8,S3,0.005407114607279645,140751378.0,0.0,2688.0,0.0
production,production|1100010|w44|pS1,1100010,44,S1,4,S1,0.005408506812247092,711445752.0,0.0,0.0,0.0
production,production|1100010|w44|pS1,1100010,44,S1,4,S2,0.005390119466677559,709983096.0,0.0,672.0,0.0
production,production|1100010|w44|pS1,1100010,44,S1,4,S3,0.005365754935639126,709983996.0,0.0,1344.0,0.0
production,production|1100010|w44|pS1,1100010,44,S1,8,S1,0.005314554716350082,795270312.0,0.0,0.0,0.0
production,production|1100010|w44|pS1,1100010,44,S1,8,S2,0.005367534837458703,785821902.0,0.0,1344.0,0.0
production,production|1100010|w44|pS1,1100010,44,S1,8,S3,0.00522506503956843,786792306.0,0.0,2688.0,0.0
production,production|1100011|w12|pS2,1100011,12,S2,4,S1,0.005369897155795199,93381798.0,0.0,0.0,0.0
production,production|1100011|w12|pS2,1100011,12,S2,4,S2,0.005219670040702619,93381798.0,0.0,672.0,0.0
