comparator,n_pairs,ppo_mean,comparator_mean,delta_mean,delta_ci95_low,delta_ci95_high,paired_cohens_d,ppo_wins,ppo_wins_ci95
S3_op10_1.00_op12_1.00,60,0.005892652189433801,0.005308508402660868,0.0005841437867729333,0.000553245060082677,0.0006151285316150204,4.605851544291046,True,True
S3_op10_1.00_op12_1.50,60,0.005892652189433801,0.00542283028450825,0.00046982190492555174,0.0004262379330924168,0.0005148908329481634,2.6272220770180286,True,True
S3_op10_1.00_op12_2.00,60,0.005892652189433801,0.005385812769689265,0.0005068394197445367,0.000464013727124741,0.0005513904740576913,2.8524538804292567,True,True
S3_op10_1.00_op12_2.50,60,0.005892652189433801,0.00544103198727383,0.0004516202021599718,0.0004105591029282044,0.0004917204251301404,2.7627814718531916,True,True
S3_op10_1.50_op12_0.50,60,0.005892652189433801,0.002271869072449335,0.003620783116984467,0.0035728495523805644,0.003667111507409819,19.516874176968773,True,True
S3_op10_1.50_op12_1.00,60,0.005892652189433801,0.005348299195121782,0.0005443529943120184,0.0004902568159456045,0.0005987082203031137,2.4369730460299666,True,True
S3_op10_1.50_op12_1.50,60,0.005892652189433801,0.005383634161482938,0.0005090180279508651,0.00046980655214835576,0.0005490434361981173,3.2320020541472387,True,True
S3_op10_1.50_op12_2.00,60,0.005892652189433801,0.005415552709302221,0.00047709948013157993,0.00043643606436499533,0.0005207252928335097,2.8682655565375224,True,True
S3_op10_1.50_op12_2.50,60,0.005892652189433801,0.005399258965309813,0.0004933932241239885,0.00046158526336020266,0.0005271887098419853,3.7267316602355973,True,True
S3_op10_2.00_op12_0.50,60,0.005892652189433801,0.002313639464656333,0.0035790127247774684,0.003539310373250673,0.003619630731729306,22.451945503394708,True,True
S3_op10_2.00_op12_1.00,60,0.005892652189433801,0.005306182949088522,0.0005864692403452801,0.0005581755123978107,0.0006172980315693178,4.9299853938350955,True,True
S3_op10_2.00_op12_1.50,60,0.005892652189433801,0.005420418221589008,0.00047223396784479337,0.0004248472794977364,0.0005229269922769613,2.391077992330415,True,True
S3_op10_2.00_op12_2.00,60,0.005892652189433801,0.005420962682288959,0.00047168950714484165,0.00040984307436282895,0.0005378280498146849,1.863707468381109,True,True
S3_op10_2.00_op12_2.50,60,0.005892652189433801,0.005441776650429202,0.00045087553900460017,0.00041054194123864616,0.0004909451088343719,2.7570166411526777,True,True
S3_op10_2.50_op12_0.50,60,0.005892652189433801,0.002304061226920188,0.0035885909625136127,0.003555841511833495,0.003620568717655521,27.580717943246572,True,True
S3_op10_2.50_op12_1.00,60,0.005892652189433801,0.005293869631527161,0.0005987825579066399,0.0005657178869419523,0.0006326493473819681,4.498217281933607,True,True
S3_op10_2.50_op12_1.50,60,0.005892652189433801,0.005372197639885259,0.0005204545495485434,0.0004746703007455709,0.0005684775797349063,2.6954120588556196,True,True
S3_op10_2.50_op12_2.00,60,0.005892652189433801,0.005437658265011234,0.0004549939244225683,0.0004244186450323688,0.0004893537448546894,3.5825680777145754,True,True
S3_op10_2.50_op12_2.50,60,0.005892652189433801,0.005465124578752712,0.0004275276106810901,0.00038901072286943864,0.00046837822267510577,2.7187991610551254,True,True
