family,buffer,shifts,tape,ret_excel,placed,attended,lost,fill_qty,backlog_auc_qty_weeks,backlog_peak_qty,shift_hours_per_week,warmup_hours
R1,I672,1,700010,0.009075692834334972,696,694,0,0.9973015851118131,25492.0,9969.0,48.0,75.0
R1,I672,2,700010,0.009122035910086103,696,694,0,0.9973022401337295,25492.0,9969.0,96.0,51.0
R1,I672,3,700010,0.009100599928832736,696,694,0,0.9973014496016741,63677.0,15179.0,144.0,50.0
R1,I1344,1,700010,0.009075692834334972,696,694,0,0.9973015851118131,25492.0,9969.0,48.0,75.0
R1,I1344,2,700010,0.009122035910086103,696,694,0,0.9973022401337295,25492.0,9969.0,96.0,51.0
R1,I1344,3,700010,0.009104876641430648,696,694,0,0.9973014793852891,63677.0,15179.0,144.0,50.0
R1,B0,1,700011,0.005696889355844993,696,471,172,0.6813609354691349,18029073.0,152541.0,48.0,962.0
R1,B0,2,700011,0.008859764099079894,696,694,0,0.9972589258674321,1646161.0,80139.0,96.0,927.0
R1,B0,3,700011,0.008769898270439214,696,694,0,0.9972550024803861,1589471.0,80139.0,144.0,933.0
R1,I168,1,700011,0.009109588966670999,696,694,0,0.9972548902619042,5186.0,2593.0,48.0,75.0
R1,I168,2,700011,0.009217229348055503,696,694,0,0.9958543414273171,0.0,0.0,96.0,49.0
R1,I168,3,700011,0.008986619531288579,696,694,0,0.9958217931820768,40784.0,12524.0,144.0,46.0
R1,I336,1,700011,0.009110612452752319,696,694,0,0.9972548902619042,2593.0,2593.0,48.0,75.0
R1,I336,2,700011,0.009154467927950346,696,694,0,0.9972544094383337,10151.0,4965.0,96.0,49.0
R1,I336,3,700011,0.009018720893078647,696,694,0,0.9972546278774886,38144.0,12442.0,144.0,46.0
R1,I504,1,700011,0.009110612452752319,696,694,0,0.9972548902619042,2593.0,2593.0,48.0,75.0
R1,I504,2,700011,0.009230252145820595,696,694,0,0.9972552162766946,0.0,0.0,96.0,49.0
R1,I504,3,700011,0.00878990527766231,696,694,0,0.9972554027526614,154614.0,24841.0,144.0,46.0
R1,I672,1,700011,0.009110612452752319,696,694,0,0.9972548902619042,2593.0,2593.0,48.0,75.0
R1,I672,2,700011,0.009230252145820595,696,694,0,0.9972552162766946,0.0,0.0,96.0,49.0
R1,I672,3,700011,0.009079798012586088,696,694,0,0.9972557392549131,25573.0,10097.0,144.0,46.0
R1,I1344,1,700011,0.009110612452752319,696,694,0,0.9972548902619042,2593.0,2593.0,48.0,75.0
R1,I1344,2,700011,0.009230252145820595,696,694,0,0.9972552162766946,0.0,0.0,96.0,49.0
R1,I1344,3,700011,0.00920913379846729,696,694,0,0.9972590679948612,0.0,0.0,144.0,46.0
R1,B0,1,700012,0.005704218101096559,696,461,178,0.6661642874014096,18222163.0,154482.0,48.0,1129.0
R1,B0,2,700012,0.008865489346335948,696,694,0,0.997303153070891,2213594.0,95292.0,96.0,1095.0
R1,B0,3,700012,0.00892677318071105,696,694,0,0.9973029715316727,2214109.0,95292.0,144.0,1102.0
R1,I168,1,700012,0.009222898063342325,696,694,0,0.997303813548337,0.0,0.0,48.0,76.0
R1,I168,2,700012,0.008984783884377808,696,694,0,0.9973031575346623,51282.0,12888.0,96.0,52.0
R1,I168,3,700012,0.00908861537776658,696,694,0,0.9973032512704456,38371.0,12462.0,144.0,54.0
R1,I336,1,700012,0.009222898063342325,696,694,0,0.997303813548337,0.0,0.0,48.0,76.0
R1,I336,2,700012,0.009213171928873644,696,694,0,0.9959360494759076,0.0,0.0,96.0,52.0
R1,I336,3,700012,0.009138449674243683,696,694,0,0.9973023612617311,25611.0,10041.0,144.0,54.0
R1,I504,1,700012,0.009222898063342325,696,694,0,0.997303813548337,0.0,0.0,48.0,76.0
R1,I504,2,700012,0.009159673066498,696,694,0,0.9973028911704448,15400.0,7610.0,96.0,52.0
R1,I504,3,700012,0.009170157407386859,696,694,0,0.9973032899531551,2598.0,2598.0,144.0,54.0
R1,I672,1,700012,0.009222898063342325,696,694,0,0.997303813548337,0.0,0.0,48.0,76.0
R1,I672,2,700012,0.009159673066498,696,694,0,0.9973028911704448,15400.0,7610.0,96.0,52.0
R1,I672,3,700012,0.00884669401505416,696,694,0,0.9973020872946967,242837.0,30375.0,144.0,54.0
R1,I1344,1,700012,0.009222898063342325,696,694,0,0.997303813548337,0.0,0.0,48.0,76.0
R1,I1344,2,700012,0.009159673066498,696,694,0,0.9973028911704448,15400.0,7610.0,96.0,52.0
R1,I1344,3,700012,0.009115333369870743,696,694,0,0.9972991028136741,5175.0,2598.0,144.0,54.0
R1,B0,1,700013,0.005627501918682842,696,472,165,0.6829378504889466,18122086.0,155470.0,48.0,960.0
R1,B0,2,700013,0.009031936527341246,696,694,0,0.9972582500396636,1587303.0,80744.0,96.0,927.0
R1,B0,3,700013,0.008987891005455186,696,694,0,0.9972543734460344,1584852.0,80744.0,144.0,939.0
R1,I168,1,700013,0.008931165888806495,696,694,0,0.9972545551932596,130216.0,22643.0,48.0,75.0
R1,I168,2,700013,0.009214383610720408,696,694,0,0.9972536356081566,0.0,0.0,96.0,54.0
R1,I168,3,700013,0.009062587801179566,696,694,0,0.9972548262548263,25527.0,10097.0,144.0,53.0
R1,I336,1,700013,0.008931165888806495,696,694,0,0.9972545551932596,130216.0,22643.0,48.0,75.0
R1,I336,2,700013,0.009090834162547953,696,694,0,0.9972543098288206,28099.0,10097.0,96.0,54.0
R1,I336,3,700013,0.00909062353310231,696,694,0,0.9972543870779109,15356.0,7630.0,144.0,53.0
R1,I504,1,700013,0.008931165888806495,696,694,0,0.9972545551932596,130216.0,22643.0,48.0,75.0
R1,I504,2,700013,0.0090275895931976,696,694,0,0.9972539250333121,30505.0,7523.0,96.0,54.0
R1,I504,3,700013,0.00886125350361396,696,694,0,0.9972544400894776,15356.0,7630.0,144.0,53.0
R1,I672,1,700013,0.008931165888806495,696,694,0,0.9972545551932596,130216.0,22643.0,48.0,75.0
R1,I672,2,700013,0.0090275895931976,696,694,0,0.9972539250333121,30505.0,7523.0,96.0,54.0
R1,I672,3,700013,0.009019798466761866,696,694,0,0.9972537189567332,0.0,0.0,144.0,53.0
R1,I1344,1,700013,0.008931165888806495,696,694,0,0.9972545551932596,130216.0,22643.0,48.0,75.0
R1,I1344,2,700013,0.0090275895931976,696,694,0,0.9972539250333121,30505.0,7523.0,96.0,54.0
R1,I1344,3,700013,0.009212963658364295,696,694,0,0.9972538386667461,0.0,0.0,144.0,53.0
R1,B0,1,700014,0.005418601998799079,696,436,198,0.6334540388286156,18281171.0,154680.0,48.0,1130.0
R1,B0,2,700014,0.00813234759042731,696,694,0,0.9972471986911792,5601931.0,153016.0,96.0,1095.0
R1,B0,3,700014,0.008127717426280625,696,694,0,0.9972483135313659,5694029.0,155580.0,144.0,1101.0
R1,I168,1,700014,0.008693858371165894,696,694,0,0.9972484044988642,863258.0,62060.0,48.0,74.0
R1,I168,2,700014,0.008738758563074007,696,694,0,0.9972484029827885,866145.0,59643.0,96.0,50.0
R1,I168,3,700014,0.008566650299253058,696,694,0,0.9972479025865527,888580.0,62219.0,144.0,46.0
R1,I336,1,700014,0.008693858371165894,696,694,0,0.9972484044988642,863258.0,62060.0,48.0,74.0
R1,I336,2,700014,0.008768702293292078,696,694,0,0.9972482756264663,868424.0,64647.0,96.0,50.0
R1,I336,3,700014,0.008634773637896635,696,694,0,0.9972476250156385,925150.0,59643.0,144.0,46.0
R1,I504,1,700014,0.008693858371165894,696,694,0,0.9972484044988642,863258.0,62060.0,48.0,74.0
